farm_name,location,num_cows,num_cows_lactating,num_cows_other,farm_size,irrigating?,irrigation_percentage,rainfall,evaporation,avg_daily_water_usage
0,Warragul,644,423,221,4026,yes,40.303633843068,1018,1150,13843036.421555515
1,Bendigo,592,392,200,1907,no,0,478,1400,62040.0
2,Warragul,882,619,263,2893,yes,77.46872915392154,1018,1150,19114817.62824758
3,Portland,1034,585,449,5501,yes,60.08368380669536,837,1350,28141286.64795297
4,Benalla,997,647,350,4036,no,0,668,1350,103890.0
5,Orbost,1021,800,221,5584,no,0,845,1100,120080.0
6,Charlton,493,302,191,3010,no,0,431,1650,40452.0
7,Charlton,865,555,310,2375,no,0,431,1650,101830.0
8,Colac,1350,812,538,3148,no,0,726,1250,128603.99999999999
9,Benalla,1002,730,272,9307,yes,64.0852156268964,668,1350,50727956.31312047
10,Orbost,659,456,203,6229,yes,75.41687320991514,845,1100,39944132.452668525
11,Orbost,1443,1001,442,2494,no,0,845,1100,122616.0
12,Wangaratta,829,629,200,4245,yes,55.5616675809745,636,1350,20095792.998650566
13,Warnambool,1088,717,371,3622,no,0,741,1250,121456.0
14,Charlton,1272,862,410,5525,yes,48.796112124366296,431,1650,23006070.348872192
15,Ballarat,780,477,303,4542,yes,61.027810091612615,691,1150,23578282.161322188
16,Colac,1414,1095,319,2937,yes,30.8815813440768,726,1250,7873676.478069071
17,Benalla,572,349,223,3635,yes,48.519886144581136,668,1350,15034922.749324335
18,Kerang,1380,1060,320,3519,no,0,372,1650,151200.0
19,Portland,1236,851,385,6779,no,0,837,1350,122261.99999999999
20,Alexandra,823,544,279,3800,no,0,708,1350,103446.0
21,Warnambool,1314,1011,303,6122,yes,49.4835273681347,741,1250,25854406.17646505
22,Hamilton,382,283,99,5382,yes,76.78796865133049,687,1300,35110333.548777565
23,Portland,1113,804,309,4608,no,0,837,1350,127632.0
24,Alexandra,766,544,222,1858,no,0,708,1350,71006.0
25,Charlton,715,502,213,2010,no,0,431,1650,55891.00000000001
26,Bairnsdale,1138,790,348,3200,no,0,710,1100,88660.0
27,Mildura,720,480,240,4336,yes,68.59802096309676,282,1950,25329499.273702465
28,Warragul,322,179,143,4306,no,0,1018,1150,38646.0
29,Swan Hill,683,481,202,4219,yes,80.06035478519959,349,1700,28754377.428505313
30,Sale,1094,660,434,5343,yes,60.41200802244545,607,1300,27483853.9267814
31,Portland,1271,826,445,1844,no,0,837,1350,150161.0
32,Swan Hill,502,379,123,3377,no,0,349,1700,54705.0
33,Warragul,478,319,159,1115,yes,54.558775213996185,1018,1150,5223145.62643922
34,Alexandra,1037,601,436,5703,yes,51.170065600875006,708,1350,24850864.17541633
35,Wangaratta,684,478,206,3137,no,0,636,1350,87372.0
36,Kerang,1408,1014,394,5640,no,0,372,1650,131066.0
37,Warragul,1362,931,431,6769,yes,56.47647787320994,1018,1150,32598539.085285347
38,Alexandra,934,655,279,4767,yes,84.61546466322808,708,1350,34339486.154610254
39,Colac,885,538,347,7321,no,0,726,1250,90585.0
40,Leongatha,767,578,189,6021,yes,86.73713070446341,952,1100,44389698.683267504
41,Warnambool,763,508,255,4220,yes,90.1868402409525,741,1250,32375289.093873475
42,Benalla,917,623,294,2299,yes,68.67348266032076,668,1350,13496114.17030389
43,Sale,624,362,262,4043,no,0,607,1300,46266.00000000001
44,Bendigo,895,582,313,2452,yes,63.78231301746969,478,1400,13372714.429003585
45,Horsham,986,686,300,5141,no,0,444,1550,97832.0
46,Ballarat,1319,814,505,3415,yes,64.03856731737551,691,1150,18723031.206090625
47,Benalla,1117,807,310,4791,yes,48.76170100495137,668,1350,19947191.058514457
48,Warragul,1236,833,403,4752,no,0,1018,1150,147543.0
